"","x"
"1","RT @Thomas1774Paine: FBI Used Agents As Pawns To Insulate Hillary, Aides & Clinton Foundation From Prosecutions #HillarysEmails #Trump RT h"
"2","Urban News: This is Different: Mary J. Blige Does Awkward Interview with Hillary Clin... https://t.co/Jo1PPOgivS https://t.co/jXrctqZ2FE"
"3","Just a reminder: Giuliani dumped his wife in a press conference.
https://t.co/33mzx6B03I via @HuffPostPol"
"4","RT @mikiebarb: How Clinton went from hesitant to scorching in 90 minutes. My analysis with @mattfleg: https://t.co/uVE32ubAlt"
"5","RT @AlanKestrel750: ""Did anybody see that debate last night?"" Hillary Clinton https://t.co/1JvsDO7C5H"
"6","Hillary Clinton left her controversial ISIS-fighting strategy out of Monday's debate https://t.co/1Xhe9xK6Cv via @HuffPostPol"
"7","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"8","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential electi... https://t.co/RF4aT3HKPI"
"9","Donald Trump was criticized by Hillary Clinton in debate for saying on Twitter in 2012 that climate change is a Chinese hoax"
"10","Last nights US presidential debate will be shown in gender studies classes for years to come https://t.co/wVtAfmHG7w via @qz"
"11","RT @BklynMiddleton: Trump: ""I have a much better temperament"" than Hillary Clinton. Fact check: https://t.co/QeJlFF47eI"
"12","RT @bowhunter_va: @TODAYshow @LesterHoltNBC Failed to ask Hillary about #Clinton Foundation Scam, Benghazi failure, sanctuary cities. https"
"13","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"14","RT @hillaryshaircut: Hillary Clinton is really a humane and charismatic Trump-quasher!! https://t.co/fo7vdcydeu #hillaryclinton #UniteBlue"
"15","RT @HillaryClinton: Hillary was the winner of the first presidential debateand newspapers across America agree. #SheWon https://t.co/jaxTd"
"16","RT @BreitbartNews: FBI Director: We found no evidence of intent
FBI Docs: IT employee labeled his work ""Hillary coverup operation"" https://"
"17","RT @Veteran4Trump: 50 Former Bush Appointees Endorse Donald Trump and distance themselves from Hillary Clinton Campaign https://t.co/XwwoBE"
"18","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"19","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"20","RT @majesticmata: Tears imagine wanting Hillary Clinton as your president, an old slag with pneumonia scree"
"21","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"22","RT @sweetatertot2: Attention AFRICAN AMERICAN people! Do NOT vote for Hillary Clinton. ~ Haitians 

#debates #Debates2016 #Debatenight vote"
"23","How Hillary Clinton killed the Trump brand https://t.co/Qq9KASJbi6"
"24","RT @Always_Trump: Sources say Hillary had debate questions WEEK before debate. @NBC intern seen delivering package to office #TrumpWon http"
"25","RT @V_of_Europe: Trump: Debate Moderator Ignored All of Hillary Clinton's Scandals https://t.co/ASy913BQ0v https://t.co/5aUDiz2S3y"
"26","RT @ComedyCentral: Whats the difference between fact-checking Hillary Clinton and fact-checking Donald Trump? #DailyShow
https://t.co/tSkJ"
"27","'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of... https://t.co/WHyz0LfadG by @nepafortrump via @c0nvey"
"28","RT @realDonaldTrump: Hillary Clinton failed all over the world. 
LIBYA
SYRIA
IRAN
IRAQ
ASIA PIVOT
RUSSIAN RESET
BENGHAZI
#DebateNigh"
"29","Barack Obamas Hold Hillary Clinton In Arms Photo  Internet Turned It Into A Hilarious Meme: https://t.co/59yVNUkmdN"
"30","RT @MissLizzyNJ: Hillary Clinton, a woman who can't even secure her own emails, is really going to try and give us a lesson on cyber securi"
"31","RT @newswatchcanada: Avik Roy: 
Hillary Clinton's zany debate claim that tax cuts caused the financial crisis

https://t.co/1W7vvKNKnH http"
"32","RT @riotwomennn: Hillary Clinton proved Donald Trump lies every few minutes ... we can't keep up w them.   Here's another   #SheWon   https"
"33","RT @dixiefortrump: Globalist Shill Hillary Clinton Refuses 2Wear an American Flag Pin . SHE WANTS TO BE PRESIDENT OF THE WORLD NOT USA http"
"34","RT @chescaleigh: ""I'm not a Hillary Clinton fan, but as a woman I'm so angry for her"" #debatenight via https://t.co/ePzjbNXhtV https://t.co"
"35","#CNNLatest Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presiden... https://t.co/l7TpxpATSN"
"36","RT @realDonaldTrump: 'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm"
"37","RT @Always_Trump: Sources say Hillary had debate questions WEEK before debate. @NBC intern seen delivering package to office #TrumpWon http"
"38","RT @andswalk_: What would you rather listen to? 

RT Chanel's laugh 
Fav Hillary Clinton https://t.co/oNbZfKED5Q"
"39","'Will & Grace' Cast Reunites for Hillary Clinton - @ABCnews : https://t.co/GmEru3kmNK"
"40","RT @newtgingrich: I worked with Bill Clinton. Bill Clinton and I got a lot done--welfare reform,balancing the budget.Hillary Clinton is no"
"41","RT @dcexaminer: JUST IN: James Comey says the FBI's immunity deal was the quickest way to get Hillary Clinton aide's laptop https://t.co/r9"
"42","RT @SpecialKMB1969: FACT CHECK: CLINTON CLAIMS IRAN WAS WEEKS AWAY FROM A NUCLEAR BOMB. WRONG
TOP 5 HRC LIES 
#debatenight 
Fact 'ed

ht"
"43","RT @ody357: @AIIAmericanGirI @MrEdTrain @FoxNews Although her policy's are not transparent Hillary Clinton is. Fake and phony"
"44","Clinton mocks Trump's microphone malfunction: It was on and off and it was much lower than hers, T... https://t.co/tY77GKrZZi @CBSNews"
"45","@CBSNews just had to turn your news broadcast off. You keep cramming Hillary Clinton down our throats. #scriptedpuppet"
"46","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"47","Tawakkol Karman a Yemeni from the Muslim Brotherhood, one of the big advocators for the ""Arab Spring"" is supporting https://t.co/0YhiLnoM13"
"48","RT @tyleroakley: ALL POLITICS ASIDE!!
hillary clinton is adorable https://t.co/EDzhHerw2u"
"49","@FoxNews @HillaryClinton 

None #bigots #Americans are voting for Hillary Clinton.

#RepublicansForHillary 
#HillaryWon"
"50","RT @AlanKestrel750: ""Did anybody see that debate last night?"" Hillary Clinton https://t.co/1JvsDO7C5H"
"51","RT @CNNPolitics: In Raleigh, Hillary Clinton slams the ""mean-spirited"" North Carolina bathroom bill https://t.co/6OZtrfIwim https://t.co/pP"
"52","RT @rayne_ea: .@seanhannity Spot on - Donald kept his powder dry, while #CrookedHillary used up ALL of hers! She has a FOUL TEMPER https://"
"53","RT @Ricky_Vaughn99: Whew. These pundits are going to be livid when they realize that the debate didn't boost Hillary Clinton. #TrumpWon"
"54","RT @CNN: At last night's debate, Hillary Clinton gave a shoulder shimmy after Donald Trump questioned her temperament https://t.co/uTepm1jr"
"55","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"56","RT @dailykos: Hillary Clinton wins the debateand the next-day trolling https://t.co/EI27To3RlM"
"57","RT @HillaryClinton: Hillary was the winner of the first presidential debateand newspapers across America agree. #SheWon https://t.co/jaxTd"
"58","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"59","RT @dcexaminer: JUST IN: James Comey says the FBI's immunity deal was the quickest way to get Hillary Clinton aide's laptop https://t.co/r9"
"60","RT @NBCNews: WATCH LIVE: Hillary Clinton holds campaign rally in North Carolina https://t.co/aBWl7Va9zn https://t.co/VfjPN966Sa"
"61","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"62","RT @papermagazine: Why are we talking about Hillary Clinton's kitten heels? https://t.co/T87bERaYk0 https://t.co/Py4FZRTp1I"
"63","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"64","Billionaire donors like George Soros and James Simons are favoring Hillary Clinton over Donald Trump https://t.co/esDOsfDXXV via @markets"
"65","RT @BAMAPERRY: .Exact Script of Lester Holts Plan to Rig Presidential Debate for Hillary Clinton Leaked 28 Days Ago to True Pundit https:/"
"66","After The First Presidential Debate Hillary Clinton Spoke To Supporters. Donald Trump Went Home. https://t.co/3Q5drEbJ3g"
"67","Russian newspapers declare debate win for Clinton https://t.co/6FhaDY55Qj via @nbcnews"
"68","Hillary Clinton is the most corrupt politician on EARTH https://t.co/NQ0SC4YkgF #hillary #clinton #corruption"
"69","RT @marineshamus: Obamas Conflict Tanked the Clinton E-mail Investigation  As Predicted https://t.co/X8FkRZDmT3"
"70","RT @MissLizzyNJ: Hillary Clinton says she didn't refer to the TPP as the gold standard in trade. 

Fact Check: False 
#DebateNight https:"
"71","RT @TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/ewerrcCY1I"
"72","This election is a choice, and I'm committed to vote for Hillary Clinton. Commit your vote & help win this election. https://t.co/JcZGUW8wOV"
"73","Day after debate, Clinton gloats and Trump fumes https://t.co/DyX8wjLTUJ via @iActualizado"
"74","RT @TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/ewerrcCY1I"
"75","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"76","RT @OnlyJuuzou: This basically Hillary Clinton https://t.co/Skp6Gv9sOM"
"77","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"78","RT @voxdotcom: Donald Trump interrupted Hillary Clinton 51 times on #DebateNight. For most women, this is a familiar pattern: https://t.co/"
"79","RT @chescaleigh: ""I'm not a Hillary Clinton fan, but as a woman I'm so angry for her"" #debatenight via https://t.co/ePzjbNXhtV https://t.co"
"80","RT @mianelsonn: Hillary Clinton is a fake friend and Donald trump is your honest friend who will tell you ur mascara is clumpy"
"81","RT @HuffPostPol: WATCH LIVE: Hillary Clinton holds a rally in Raleigh, North Carolina https://t.co/E3Y2H3tXUz https://t.co/ozi7STcT2T"
